eq,label
“破坏者”(DST) MK36/40/41沉底水雷,爆炸物
MK13Mod6沉底水雷,爆炸物
沉-1型水雷,爆炸物
美国MK67 潜射布放自航式水雷,爆炸物
伊拉克Sigee1400型沉底雷,爆炸物
MK50/52/55/56/57沉底水雷,爆炸物
英国VEMS多用途训练水雷,爆炸物
“卡普托”MK60锚泊水雷,爆炸物
MMI80型非触发锚雷,爆炸物
TM/AS遥控上浮水雷,爆炸物
LUGM—145型触发锚雷,爆炸物
MCF-100,爆炸物
FG1,爆炸物
66型防登陆水雷,爆炸物
“莫万”火箭上浮水雷,爆炸物
特-1火箭上浮水雷,爆炸物
Mk67自航水雷,爆炸物
KPM火箭上浮水雷,爆炸物
M70沉底雷,爆炸物
65型防登陆水雷,爆炸物
MTP-19沉底雷,爆炸物
“里拉”锚雷,爆炸物
海胆,爆炸物
伊格德姆 - 500,爆炸物
MK50/52/55/56/57,爆炸物
阿姆德 - 500M/2M,爆炸物
Sigee1400型沉底雷,爆炸物
快速打击 MK62/63/64/65,爆炸物
卡普托 MK60,爆炸物
破坏者 MK36/40/41,爆炸物
MO-90型非触发锚雷,爆炸物
锚-2型水雷,爆炸物
锚-1型水雷,爆炸物
锚-3型水雷,爆炸物
MK13Mod6,爆炸物
MCC-23,爆炸物
江河水面漂雷,爆炸物
KAM锚雷,爆炸物
APM漂雷,爆炸物
法马伊,爆炸物
TM/AS,爆炸物
MK25/26/39沉底水雷,爆炸物
塞皮亚,爆炸物
MR-80/MP-80/MRP-80,爆炸物
曼塔,爆炸物
“快速打击”MK62/63/64/65水雷,爆炸物
漂-2型水雷,爆炸物
沉-5型水雷,爆炸物
矩阵系列非触发锚雷,爆炸物
新型沉底雷,爆炸物
石鱼,爆炸物
“伊格德姆”-500沉底水雷,爆炸物
“阿姆德”-500М/2М沉底水雷,爆炸物
沉-2型水雷,爆炸物
沉-4型水雷,爆炸物
Mk52,爆炸物
谢尔别依/里拉/阿波姆空投水雷,爆炸物
Mk55,爆炸物
KSM锚雷,爆炸物
沉-3型水雷,爆炸物
锚-4型水雷,爆炸物
“海胆”,爆炸物
MAS/22,爆炸物
MRP,爆炸物
GLS210防登陆水雷,爆炸物
“西及尔”400,爆炸物
GMI100“罗肯”,爆炸物
“邦尼”,爆炸物
“石鱼”,爆炸物
74型江河水雷,爆炸物
SMG2,爆炸物
Mk65,爆炸物
77-1式木柄手榴弹,爆炸物
79式火箭手榴弹,爆炸物
M43型长柄手榴弹,爆炸物
73型小型钢珠手榴弹,爆炸物
82-1式无柄手榴弹,爆炸物
82-2式卵形手榴弹,爆炸物
82-2式全塑无柄钢珠手榴弹,爆炸物
82-3式无柄手榴弹,爆炸物
84式碰炸手榴弹,爆炸物
86式全塑无柄手榴弹,爆炸物
80式反坦克手榴弹,爆炸物
77式,爆炸物
M26式系列,爆炸物
RG-42,爆炸物
RGD-5,爆炸物
Mk 2菠萝,爆炸物
M67式,爆炸物
M57式,爆炸物
AN M18式,爆炸物
GME-FMK2-MO式,爆炸物
M39式小型卵形手榴弹,爆炸物
98式闪光手榴弹,爆炸物
M24式长柄手榴弹,爆炸物
霍赛姆,爆炸物
67式木柄手榴弹,爆炸物
541式进攻手榴弹,爆炸物
九七式手榴弹,爆炸物
RPG-40,爆炸物
WY91式手榴弹,爆炸物
防-1（F-1）式手榴弹,爆炸物
攻-59式手榴弹,爆炸物
RGD-33,爆炸物
吕歇尔LU213式,爆炸物
短柄手榴弹,爆炸物
RPG-43,爆炸物
NR20C1式,爆炸物
M型手榴弹,爆炸物
NR14式,爆炸物
NR446式,爆炸物
NV-40式,爆炸物
MB-315式,爆炸物
HG85式,爆炸物
GL-302式,爆炸物
F-1 M1915型,爆炸物
4式陶制手榴弹,爆炸物
GL-301式,爆炸物
HG80式,爆炸物
74号,爆炸物
82系列,爆炸物
反-43式反坦克手榴弹,爆炸物
波兰1931式,爆炸物
241式,爆炸物
F-1,爆炸物
LAFFITE,爆炸物
城堡,爆炸物
S.R.C.M(ROMA),爆炸物
PO-1,爆炸物
OTO,爆炸物
3式反战车手榴弹,爆炸物
RW705式,爆炸物
91式,爆炸物
九九式磁性反战车手榴弹,爆炸物
一式氰酸手榴弹,爆炸物
九九式混合燃料纵火瓶,爆炸物
RGO,爆炸物
大正十年式,爆炸物
M7A3式,爆炸物
法伊斯特尔瞬时型CS,爆炸物
NR423式训练手榴弹,爆炸物
DM24式,爆炸物
西玛震晕,爆炸物
M-DN21、M-DN31、M-DN61式,爆炸物
CITRONFOUG防御型,爆炸物
GL-304式、GL-305式和GL-307式,爆炸物
阿尔塞特克斯,爆炸物
DM51式,爆炸物
M4式,爆炸物
CM6式,爆炸物
UbHG84式,爆炸物
M3-CEV式CN,爆炸物
HG79式,爆炸物
